  Dados detalhados das AIH - por gestor - São Paulo
Quantidade aprovadaValor aprovado por Ano/mês processamento
Estabelecimento: 4049020 SANTA CASA DE OURINHOS
Período:Mar/2016-Set/2025
"Ano/mês processamento";"Quantidade_aprovada";"Valor_aprovado"
"2016";279996;9095544,73
"..Março/2016";28243;847226,32
"..Abril/2016";30423;890725,54
"..Maio/2016";30908;858735,77
"..Junho/2016";31352;888797,44
"..Julho/2016";28157;954370,19
"..Agosto/2016";18081;661470,64
"..Setembro/2016";38209;1180202,19
"..Outubro/2016";24463;936178,13
"..Novembro/2016";24937;946069,75
"..Dezembro/2016";25223;931768,76
"2017";350161;12039671,15
"..Janeiro/2017";28391;947176,86
"..Fevereiro/2017";32085;957854,17
"..Março/2017";34349;1041193,33
"..Abril/2017";30406;1059761,52
"..Maio/2017";28768;1049580,92
"..Junho/2017";28338;959198,98
"..Julho/2017";29960;949754,29
"..Agosto/2017";27003;1074925,11
"..Setembro/2017";26576;994287,53
"..Outubro/2017";28184;952574,11
"..Novembro/2017";28468;999617,55
"..Dezembro/2017";27633;1053746,78
"2018";408221;13900540,69
"..Janeiro/2018";24990;992956,55
"..Fevereiro/2018";27110;969137,85
"..Março/2018";32259;1132817,56
"..Abril/2018";32409;1032595,85
"..Maio/2018";28169;1021237,90
"..Junho/2018";28574;968269,38
"..Julho/2018";37453;1342232,10
"..Agosto/2018";28466;1094028,97
"..Setembro/2018";34617;1072836,88
"..Outubro/2018";32157;1044095,72
"..Novembro/2018";33493;1043084,65
"..Dezembro/2018";68524;2187247,28
"2019";341245;12434841,71
"..Janeiro/2019";25555;1011905,63
"..Fevereiro/2019";27951;1018892,28
"..Março/2019";26635;1078065,83
"..Abril/2019";29010;1007951,59
"..Maio/2019";30212;1012507,51
"..Junho/2019";30450;1094065,75
"..Julho/2019";27861;1088242,21
"..Agosto/2019";30172;994980,48
"..Setembro/2019";24805;950408,22
"..Outubro/2019";25961;945993,10
"..Novembro/2019";27062;1072000,04
"..Dezembro/2019";35571;1159829,07
"2020";392651;13873014,26
"..Janeiro/2020";30508;966536,17
"..Fevereiro/2020";37515;1014084,57
"..Março/2020";36141;963556,11
"..Abril/2020";42408;1768919,16
"..Maio/2020";32862;962473,49
"..Junho/2020";34051;960428,98
"..Julho/2020";30558;965714,74
"..Agosto/2020";28460;961635,13
"..Setembro/2020";27224;1003796,36
"..Outubro/2020";28309;1348021,97
"..Novembro/2020";31416;1378938,43
"..Dezembro/2020";33199;1578909,15
"2021";370159;20020335,35
"  Janeiro/2021";30122;1627412,56
"  Fevereiro/2021";32584;1628717,94
"  Março/2021";29896;1563906,33
"  Abril/2021";30885;1934105,56
"  Maio/2021";27049;1734372,73
"  Junho/2021";28763;1671503,57
"  Julho/2021";60891;3296434,65
"  Agosto/2021";29703;1525721,98
"  Setembro/2021";24685;1214807,00
"  Outubro/2021";24391;1303158,68
"  Novembro/2021";24138;1140557,37
"  Dezembro/2021";27052;1379636,98
"2022";324744;15130169,67
"..Janeiro/2022";29290;1740150,23
"..Fevereiro/2022";28701;1046322,04
"..Março/2022";27188;1179572,78
"..Abril/2022";26620;1270921,94
"..Maio/2022";23945;1082549,34
"..Junho/2022";24665;1010943,51
"..Julho/2022";28551;1129290,87
"..Agosto/2022";24309;1120206,11
"..Setembro/2022";21888;1074480,07
"..Outubro/2022";18964;1071291,72
"..Novembro/2022";47662;2065849,16
"..Dezembro/2022";22961;1338591,90
"2023";304720;15097728,85
"Janeiro/2023";29769;1244699,03
"Fevereiro/2023";26091;1215688,61
"Março/2023";24327;1262797,08
"Abril/2023";26718;1220630,54
"Maio/2023";22757;1309226,94
"Junho/2023";23807;1363056,72
"Julho/2023";25600;1346800,56
"Agosto/2023";25406;1160011,15
"Setembro/2023";24258;1206452,71
"Outubro/2023";24871;1241407,54
"Novembro/2023";25418;1333788,64
"Dezembro/2023";25698;1193169,33
"2024";487422;24408081,33
"Janeiro/2024";116111;5472612,21
"Fevereiro/2024";32106;1595797,32
"Março/2024";30492;1540336,08
"Abril/2024";33432;1562065,46
"Maio/2024";31022;1586284,31
"Junho/2024";30313;1569369,50
"Julho/2024";35048;2027137,86
"Agosto/2024";33142;1924230,53
"Setembro/2024";32351;1968932,23
"Outubro/2024";37314;1839468,06
"Novembro/2024";33216;1551266,55
"Dezembro/2024";42875;1770581,22
"2025";334055;14568779,41
"Janeiro/2025";34815;1492825,40
"Fevereiro/2025";34524;1457850,20
"Março/2025";37082;1460756,17
"Abril/2025";44957;1912489,89
"Maio/2025";35787;1696236,45
"Junho/2025";36735;1607329,35
"Julho/2025";33558;1591065,30
"Agosto/2025";38719;1686792,64
"Setembro/2025";37878;1663434,01
"Total";3593374;150568707,15
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
